URL,Lang,Overall Score,Title Status,Title Score,Title Notes,Meta Desc Status,Meta Desc Score,Meta Desc Notes,Headings Status,Headings Score,Headings Notes,Canonical Status,Canonical Score,Canonical Notes,Schema Status,Schema Score,Schema Notes,Hreflang Status,Hreflang Score,Hreflang Notes,OpenGraph Status,OpenGraph Score,OpenGraph Notes,ARIA Status,ARIA Score,ARIA Notes,Keywords Status,Keywords Score,Keywords Notes,Content Status,Content Score,Content Notes,Images Status,Images Score,Images Notes,Links Status,Links Score,Links Notes,Robots Status,Robots Score,Robots Notes,Mobile Status,Mobile Score,Mobile Notes
https://www.aiseoturbo.com/de/,de,70,pass,100,Good,warn,60,Similar descriptions found,pass,100,Good,fail,0,Canonical missing or incorrect,fail,20,Invalid JSON-LD,fail,0,Self hreflang missing or incorrect,fail,0,Missing OG tags,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good
https://www.aiseoturbo.com/fr/,fr,69.28571428571429,warn,50,Title length 62,pass,100,Good,pass,100,Good,fail,0,Canonical missing or incorrect,fail,20,Invalid JSON-LD,fail,0,Self hreflang missing or incorrect,fail,0,Missing OG tags,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good
https://www.aiseoturbo.com/,en,66.42857142857143,pass,100,Good,warn,60,Similar descriptions found,pass,100,Good,fail,0,Canonical missing or incorrect,fail,20,Invalid JSON-LD,fail,0,Self hreflang missing or incorrect,fail,0,Missing OG tags,pass,100,Good,warn,50,Keyword density 2.14%,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good
https://www.aiseoturbo.com/it/,it,66.42857142857143,warn,50,Title length 62,warn,60,Similar descriptions found,pass,100,Good,fail,0,Canonical missing or incorrect,fail,20,Invalid JSON-LD,fail,0,Self hreflang missing or incorrect,fail,0,Missing OG tags,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good
https://www.aiseoturbo.com/es/,es,66.42857142857143,warn,50,Title length 46,warn,60,Similar descriptions found,pass,100,Good,fail,0,Canonical missing or incorrect,fail,20,Invalid JSON-LD,fail,0,Self hreflang missing or incorrect,fail,0,Missing OG tags,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good
https://www.aiseoturbo.com/id/,id,69.28571428571429,warn,50,Title length 78,pass,100,Good,pass,100,Good,fail,0,Canonical missing or incorrect,fail,20,Invalid JSON-LD,fail,0,Self hreflang missing or incorrect,fail,0,Missing OG tags,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good
https://www.aiseoturbo.com/de/features,de,87.14285714285714,warn,70,Primary keyword not in title,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Valid schema,pass,100,Good,fail,0,Missing OG tags,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,warn,50,Only 2 internal links,pass,100,Good,pass,100,Good
https://www.aiseoturbo.com/fr/features,fr,87.14285714285714,warn,70,Primary keyword not in title,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Valid schema,pass,100,Good,fail,0,Missing OG tags,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,warn,50,Only 2 internal links,pass,100,Good,pass,100,Good
https://www.aiseoturbo.com/features,en,87.14285714285714,warn,70,Primary keyword not in title,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Valid schema,pass,100,Good,fail,0,Missing OG tags,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,warn,50,Only 2 internal links,pass,100,Good,pass,100,Good
https://www.aiseoturbo.com/it/features,it,87.14285714285714,warn,70,Primary keyword not in title,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Valid schema,pass,100,Good,fail,0,Missing OG tags,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,warn,50,Only 2 internal links,pass,100,Good,pass,100,Good
https://www.aiseoturbo.com/es/features,es,84.28571428571429,warn,70,Primary keyword not in title,warn,60,Similar descriptions found,pass,100,Good,pass,100,Good,pass,100,Valid schema,pass,100,Good,fail,0,Missing OG tags,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,warn,50,Only 2 internal links,pass,100,Good,pass,100,Good
https://www.aiseoturbo.com/id/features,id,84.28571428571429,warn,70,Primary keyword not in title,warn,60,Similar descriptions found,pass,100,Good,pass,100,Good,pass,100,Valid schema,pass,100,Good,fail,0,Missing OG tags,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,warn,50,Only 2 internal links,pass,100,Good,pass,100,Good
https://www.aiseoturbo.com/de/features/seo-audit,de,89.28571428571429,warn,50,Title length 71,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Valid schema,pass,100,Good,fail,0,Missing OG tags,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good
https://www.aiseoturbo.com/fr/features/seo-audit,fr,89.28571428571429,warn,50,Title length 73,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Valid schema,pass,100,Good,fail,0,Missing OG tags,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good
https://www.aiseoturbo.com/features/seo-audit,en,89.28571428571429,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Valid schema,pass,100,Good,fail,0,Missing OG tags,pass,100,Good,warn,50,Keyword density 2.16%,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good
https://www.aiseoturbo.com/it/features/seo-audit,it,89.28571428571429,warn,50,Title length 73,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Valid schema,pass,100,Good,fail,0,Missing OG tags,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good
https://www.aiseoturbo.com/es/features/seo-audit,es,83.57142857142857,pass,100,Good,pass,100,Good,fail,20,0 H1s,pass,100,Good,pass,100,Valid schema,pass,100,Good,fail,0,Missing OG tags,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,warn,50,Only 0 internal links,pass,100,Good,pass,100,Good
https://www.aiseoturbo.com/id/features/seo-audit,id,89.28571428571429,warn,50,Title length 89,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Valid schema,pass,100,Good,fail,0,Missing OG tags,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good
https://www.aiseoturbo.com/de/features/site-crawler,de,89.28571428571429,warn,50,Title length 65,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Valid schema,pass,100,Good,fail,0,Missing OG tags,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good
https://www.aiseoturbo.com/fr/features/site-crawler,fr,89.28571428571429,warn,50,Title length 67,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Valid schema,pass,100,Good,fail,0,Missing OG tags,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good
https://www.aiseoturbo.com/features/site-crawler,en,84.28571428571429,warn,70,Primary keyword not in title,warn,60,Similar descriptions found,pass,100,Good,pass,100,Good,pass,100,Valid schema,pass,100,Good,fail,0,Missing OG tags,pass,100,Good,warn,50,Keyword density 2.09%,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good
https://www.aiseoturbo.com/it/features/site-crawler,it,86.42857142857143,warn,50,Title length 67,warn,60,Similar descriptions found,pass,100,Good,pass,100,Good,pass,100,Valid schema,pass,100,Good,fail,0,Missing OG tags,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good
https://www.aiseoturbo.com/es/features/site-crawler,es,86.42857142857143,warn,50,Title length 65,warn,60,Similar descriptions found,pass,100,Good,pass,100,Good,pass,100,Valid schema,pass,100,Good,fail,0,Missing OG tags,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good
https://www.aiseoturbo.com/id/features/site-crawler,id,86.42857142857143,warn,50,Title length 83,warn,60,Similar descriptions found,pass,100,Good,pass,100,Good,pass,100,Valid schema,pass,100,Good,fail,0,Missing OG tags,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good,pass,100,Good
